,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-11-02,913086,24174323,26.65,26.85,26.15,26.3,-0.35,552
1,2020-11-03,1002312,27076294,26.7,27.3,26.6,27.0,0.7,609
2,2020-11-04,10112772,288506380,28.55,29.35,27.75,27.8,0.8,4724
3,2020-11-05,2319417,64645857,27.45,28.2,27.4,28.05,0.25,1155
4,2020-11-06,1347336,37746096,28.2,28.3,27.75,27.75,-0.3,710
5,2020-11-09,3015584,85428644,28.0,28.65,27.9,28.55,0.8,1489
6,2020-11-10,4528029,130752353,28.8,29.2,28.4,28.7,0.15,2059
7,2020-11-11,6944602,204449609,28.75,29.9,28.75,29.25,0.55,2970
8,2020-11-12,7930670,236047083,29.1,30.65,28.95,29.2,-0.05,3742
9,2020-11-13,2968877,87647198,28.9,29.9,28.8,29.7,0.5,1507
10,2020-11-16,4385290,132201413,30.5,30.5,29.8,30.3,0.6,2090
11,2020-11-17,3137665,94790494,30.6,30.75,29.65,29.95,-0.35,1713
12,2020-11-18,1821393,54981794,30.1,30.4,30.05,30.1,0.15,1043
13,2020-11-19,2557266,77288524,30.15,30.75,29.85,30.15,0.05,1362
14,2020-11-20,12313738,379359663,30.7,31.8,30.0,31.1,0.95,5877
15,2020-11-23,17061598,544811000,31.75,32.6,31.3,32.0,0.9,7547
16,2020-11-24,8589922,274131643,32.0,32.6,31.3,31.45,-0.55,4087
17,2020-11-25,4935350,156520544,31.9,32.35,31.0,31.45,0.0,2270
18,2020-11-26,5235696,168026868,31.8,32.45,31.6,31.9,0.45,2667
19,2020-11-27,16471531,554776090,32.3,34.8,32.0,34.0,2.1,8722
20,2020-11-30,15908948,558206994,34.0,36.5,33.6,35.5,1.5,8221
