日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
2020-04-01,6677209,2209097396,333.0,334.0,325.5,334.0,6.5,4960
2020-04-06,8234391,2805449722,346.0,346.0,336.5,341.0,7.0,5494
2020-04-07,10214322,3551388356,348.0,350.0,346.0,347.0,6.0,5632
2020-04-08,6885590,2399316273,346.0,352.0,345.0,349.5,2.5,4941
2020-04-09,8237776,2892865250,356.0,356.0,347.5,351.5,2.0,5200
2020-04-10,6619621,2318809264,352.5,352.5,348.0,350.0,-1.5,4052
2020-04-13,7148004,2515220408,349.0,354.5,348.5,351.5,1.5,4177
2020-04-14,13578196,4929041591,354.0,368.5,353.5,365.5,14.0,8960
2020-04-15,8890815,3253892664,370.0,370.5,363.5,365.5,0.0,5873
2020-04-16,6871648,2491533020,361.0,365.5,360.5,361.5,-4.0,4174
2020-04-17,13317197,4923770465,379.0,379.0,363.0,368.0,6.5,8819
2020-04-20,5979488,2213219259,371.0,373.5,366.5,370.0,2.0,3799
2020-04-21,11421460,4098032604,367.0,367.0,352.0,353.5,-16.5,8627
2020-04-22,12142371,4208265880,350.0,352.0,342.0,346.0,-7.5,9299
2020-04-23,8791011,3063268876,347.5,351.0,344.0,351.0,5.0,5965
2020-04-24,6025467,2112875917,351.0,353.0,348.0,348.5,-2.5,4076
2020-04-27,13194986,4820204264,357.0,374.0,355.5,372.0,23.5,9305
2020-04-28,10769852,3988722587,374.5,375.0,363.5,375.0,3.0,7675
2020-04-29,31507975,12411291051,400.0,400.0,386.5,398.0,23.0,21633
2020-04-30,22045679,9056156448,412.0,415.5,405.0,415.0,17.0,14050
