日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
2020-01-02,6237434,2758621262,445.0,446.0,440.5,441.5,-2.0,4171
2020-01-03,12375266,5364928476,445.0,445.5,423.0,434.5,-7.0,9265
2020-01-06,8520516,3632830840,428.0,431.5,424.0,424.0,-10.5,6039
2020-01-07,11707155,4982703572,428.0,431.0,418.0,426.0,2.0,7952
2020-01-08,9695448,4178143323,426.0,436.5,424.0,430.5,4.5,6606
2020-01-09,7061194,3077279278,435.0,439.0,432.5,437.0,6.5,4873
2020-01-10,7882248,3401903337,439.5,441.0,426.0,432.0,-5.0,5974
2020-01-13,10239998,4358608124,432.0,435.0,422.0,422.0,-10.0,8127
2020-01-14,19437055,8113096100,422.5,424.5,412.5,416.0,-6.0,12927
2020-01-15,26086092,10741727720,409.0,419.0,406.5,416.0,0.0,17129
2020-01-16,13075722,5495435494,419.0,423.5,415.0,421.0,5.0,8603
2020-01-17,8818316,3724242970,428.0,428.0,418.5,420.5,-0.5,5956
2020-01-20,6172773,2590427739,421.0,422.0,417.0,419.0,-1.5,4178
2020-01-30,22330256,8733286560,400.0,400.5,382.5,383.5,-35.5,14587
2020-01-31,10439123,4053010283,385.0,393.0,382.0,388.0,4.5,6604
2020-02-03,10641830,4039690053,376.5,387.0,373.0,382.0,-6.0,6696
2020-02-04,9511276,3714645692,384.0,396.5,384.0,390.5,8.5,6475
2020-02-05,16355382,6272530188,390.5,390.5,378.5,381.0,-9.5,11107
2020-02-06,10507866,4040943705,381.0,390.5,380.0,382.0,1.0,7266
2020-02-07,10226510,3905283810,380.5,385.5,379.0,381.0,-1.0,6890
2020-02-10,11049172,4211632204,377.5,386.5,375.0,380.0,-1.0,7215
2020-02-11,11384133,4418605620,382.0,391.5,382.0,390.0,10.0,7917
2020-02-12,13600808,5440307816,398.0,403.5,395.0,401.5,11.5,8503
2020-02-13,15526270,6348760210,408.5,412.0,406.5,408.5,7.0,8732
2020-02-14,9177582,3724845554,407.0,408.0,403.5,405.5,-3.0,6104
2020-02-17,9237824,3669593100,397.5,399.5,394.0,398.0,-7.5,6894
2020-02-18,7500223,2956294585,394.0,396.5,392.0,392.0,-6.0,5297
2020-02-19,9008260,3519298920,395.0,396.0,387.5,388.5,-3.5,6307
