日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
2021-09-01,2021-09-01,9426404,8682486888,917.0,930.0,906.0,927.0,26.0,11910
2021-09-02,2021-09-02,5835912,5453594073,930.0,945.0,927.0,933.0,6.0,7530
2021-09-03,2021-09-03,5982064,5518704279,938.0,938.0,917.0,919.0,-14.0,6585
2021-09-06,2021-09-06,8507094,7686402319,907.0,917.0,895.0,896.0,-23.0,10893
2021-09-07,2021-09-07,3756993,3384475936,901.0,907.0,897.0,903.0,7.0,3952
2021-09-08,2021-09-08,5405988,4901792058,899.0,914.0,895.0,912.0,9.0,4710
2021-09-09,2021-09-09,6326324,5699357147,903.0,908.0,898.0,901.0,-11.0,5278
2021-09-10,2021-09-10,4863848,4460103582,903.0,925.0,902.0,925.0,24.0,6005
2021-09-13,2021-09-13,3014460,2790479842,918.0,932.0,918.0,927.0,2.0,3988
2021-09-14,2021-09-14,8536498,8046039802,932.0,949.0,932.0,947.0,20.0,11472
2021-09-15,2021-09-15,5483694,5124282580,943.0,945.0,928.0,935.0,-12.0,5478
2021-09-16,2021-09-16,4041855,3762823568,930.0,936.0,926.0,936.0,1.0,3589
2021-09-17,2021-09-17,7362257,6955190698,940.0,952.0,936.0,940.0,4.0,7460
