,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,110/08/02,183600360,41247810372,223.50,241.50,210.50,232.00,8.5,108304
1,110/08/03,128748470,29964574474,230.00,240.00,225.50,229.00,-3.0,72591
2,110/08/04,77725621,18132727020,231.00,238.00,230.00,233.00,4.0,42931
3,110/08/05,84177499,18994540141,234.50,235.50,216.50,221.00,-12.0,50485
4,110/08/06,132080809,30804724436,221.00,242.50,218.00,231.00,10.0,77792
5,110/08/09,98870872,23179477427,233.00,240.00,228.00,229.00,-2.0,57021
6,110/08/10,129817758,29932872793,237.00,239.50,219.00,225.00,-4.0,72497
7,110/08/11,135933225,29634452055,227.00,228.00,205.00,217.00,-8.0,77789
8,110/08/12,103072085,22744755305,221.00,230.00,214.00,230.00,13.0,59461
9,110/08/13,118955210,26897819441,228.00,232.00,215.00,215.00,-15.0,68877
10,110/08/16,108555045,23192730454,217.00,218.50,206.00,215.00,0.0,56994
11,110/08/17,70049794,14929579674,218.00,219.00,205.50,205.50,-9.5,39081
12,110/08/18,106866704,22898487275,205.00,226.00,201.00,226.00,20.5,60708
13,110/08/19,172898371,38571219532,228.00,234.00,210.50,213.00,-13.0,93883
14,110/08/20,104732610,22888687954,219.00,225.50,213.00,225.50,12.5,56779
15,110/08/23,130231119,31844893987,233.50,248.00,232.00,248.00,22.5,60073
16,110/08/24,161276268,40209649575,253.00,259.00,241.00,244.00,-4.0,90999
17,110/08/25,127969894,32397975618,247.00,267.00,242.00,262.00,18.0,73055
