Date,Open,High,Low,close
2020-01-02,12026.5,12110.74,12026.23,12100.48
2020-01-03,12167.44,12197.64,12023.6,12110.43
2020-01-06,12035.71,12040.08,11953.36,11953.36
2020-01-07,11961.97,11986.03,11822.4,11880.32
2020-01-08,11818.76,11899.67,11777.45,11817.1
2020-01-09,11889.46,11992.55,11889.46,11970.63
2020-01-10,12009.27,12038.21,11959.06,12024.65
2020-01-13,12069.61,12113.42,12037.24,12113.42
2020-01-14,12161.73,12186.62,12140.27,12179.81
2020-01-15,12169.92,12169.92,12048.01,12091.88
2020-01-16,12006.08,12075.54,12006.08,12066.93
2020-01-17,12080.72,12117.55,12055.91,12090.29
2020-01-20,12107.56,12151.42,12101.55,12118.71
2020-01-30,11933.23,11933.23,11418.22,11421.74
2020-01-31,11494.03,11594.21,11436.95,11495.1
2020-02-03,11365.9,11365.9,11138.03,11354.92
2020-02-04,11399.46,11581.36,11393.03,11555.92
2020-02-05,11601.55,11620.42,11512.71,11573.62
2020-02-06,11605.11,11749.68,11605.11,11749.68
2020-02-07,11712.71,11712.71,11592.09,11612.81
2020-02-10,11514.72,11598.03,11423.34,11574.07
2020-02-11,11614.25,11678.58,11614.25,11664.04
2020-02-12,11693.4,11801.52,11693.4,11774.19
2020-02-13,11813.5,11854.98,11784.94,11791.78
2020-02-14,11806.52,11840.79,11788.87,11815.7
2020-02-17,11770.3,11775.56,11724.82,11763.51
2020-02-18,11700.91,11717.1,11642.95,11648.98
2020-02-19,11655.37,11783.43,11654.16,11758.84
2020-02-20,11785.78,11827.83,11714.15,11725.09
2020-02-21,11721.16,11755.17,11661.63,11686.35
2020-02-24,11615.28,11615.28,11512.08,11534.87
2020-02-25,11506.74,11567.09,11415.47,11540.23
2020-02-26,11468.6,11494.22,11408.06,11433.62
2020-02-27,11436.96,11470.23,11274.52,11292.17
2020-03-02,11184.66,11282.05,11049.85,11170.46
2020-03-03,11279.86,11390.24,11279.86,11327.72
2020-03-04,11368.25,11392.35,11297.81,11392.35
2020-03-05,11454.65,11525.32,11454.65,11514.82
2020-03-06,11471.36,11471.36,11310.32,11321.81
2020-03-09,11221.76,11221.76,10977.64,10977.64
2020-03-10,10907.62,11032.47,10830.22,11003.54
2020-03-11,11022.82,11088.23,10885.91,10893.75
2020-03-12,10845.39,10845.39,10359.67,10422.32
2020-03-13,10091.03,10171.2,9636.15,10128.87
2020-03-16,10069.42,10130.8,9717.77,9717.77
2020-03-17,9538.64,9677.07,9371.35,9439.63
2020-03-18,9453.98,9509.61,9218.67,9218.67
2020-03-19,9085.28,9085.28,8523.63,8681.34
2020-03-20,8816.86,9264.42,8816.86,9234.09
2020-03-23,9025.55,9029.52,8750.14,8890.03
2020-03-24,9083.78,9415.64,9083.78,9285.62
2020-03-25,9426.43,9722.37,9426.43,9644.75
2020-03-26,9667.14,9739.73,9565.02,9736.36
2020-03-27,9807.9,9954.86,9691.14,9698.92
2020-03-30,9571.22,9655.7,9415.52,9629.43
2020-03-31,9689.62,9789.81,9630.3,9708.06
2020-04-01,9726.2,9736.0,9663.63,9663.63
2020-04-06,9707.75,9818.74,9651.52,9818.74
2020-04-07,9928.16,10039.15,9928.16,9996.39
2020-04-08,10010.64,10149.76,9984.66,10137.47
2020-04-09,10173.26,10246.84,10092.36,10119.43
2020-04-10,10105.43,10165.12,10103.77,10157.61
2020-04-13,10147.56,10179.4,10080.65,10099.22
2020-04-14,10130.65,10344.13,10130.65,10332.94
2020-04-15,10366.77,10461.84,10366.77,10447.21
2020-04-16,10385.78,10425.29,10317.13,10375.48
2020-04-17,10554.55,10710.15,10552.58,10597.04
2020-04-20,10612.45,10637.64,10542.96,10586.71
2020-04-21,10544.8,10544.8,10278.95,10288.42
2020-04-22,10256.11,10310.85,10140.09,10307.74
2020-04-23,10370.13,10462.7,10294.88,10366.51
2020-04-24,10367.97,10386.93,10324.2,10347.36
2020-04-27,10407.49,10578.96,10407.49,10567.27
2020-04-28,10580.25,10620.52,10537.71,10616.06
2020-04-29,10656.4,10794.83,10656.4,10772.22
2020-04-30,10826.26,11012.78,10826.26,10992.14
2020-05-04,10781.51,10781.51,10658.5,10720.48
2020-05-05,10756.95,10833.53,10735.01,10774.61
2020-05-06,10771.09,10828.73,10708.1,10774.98
2020-05-07,10778.53,10890.87,10775.16,10842.92
2020-05-08,10883.22,10970.7,10883.22,10901.42
2020-05-11,10942.18,11039.11,10942.18,11013.26
2020-05-12,10974.51,10974.51,10854.51,10879.47
2020-05-13,10861.01,10938.27,10828.93,10938.27
2020-05-14,10894.17,10894.17,10777.46,10780.88
2020-05-15,10833.16,10904.01,10730.55,10814.92
2020-05-18,10753.21,10812.87,10730.7,10740.55
2020-05-19,10812.79,10924.79,10812.79,10860.44
2020-05-20,10892.76,10933.98,10860.15,10907.8
2020-05-21,10933.21,11021.66,10933.21,11008.31
2020-05-22,10977.55,10977.55,10804.56,10811.15
2020-05-25,10812.94,10874.54,10719.25,10871.18
2020-05-26,10903.32,11046.22,10903.32,10997.21
2020-05-27,11023.93,11069.72,10972.25,11014.66
2020-05-28,11040.62,11087.53,10915.3,10944.19
2020-05-29,10921.16,10965.03,10861.9,10942.16
2020-06-01,10971.4,11109.29,10971.4,11079.02
2020-06-02,11109.27,11170.49,11102.97,11127.93
2020-06-03,11182.52,11330.52,11182.52,11320.16
2020-06-04,11373.94,11425.42,11341.58,11393.23
2020-06-05,11418.01,11482.36,11411.94,11479.4
2020-06-08,11539.0,11631.89,11528.44,11610.32
2020-06-09,11600.61,11640.45,11537.38,11637.11
2020-06-10,11635.99,11740.9,11621.02,11720.16
2020-06-11,11738.49,11771.12,11516.59,11535.77
2020-06-12,11406.54,11442.3,11244.64,11429.94
2020-06-15,11436.28,11469.84,11299.45,11306.26
2020-06-16,11380.67,11542.25,11380.67,11511.64
2020-06-17,11525.5,11550.32,11482.32,11534.59
2020-06-18,11534.2,11567.42,11485.39,11548.33
2020-06-19,11557.27,11584.88,11542.37,11549.86
2020-06-22,11553.91,11632.88,11553.91,11572.93
2020-06-23,11618.42,11679.4,11530.85,11612.36
2020-06-24,11647.86,11701.23,11637.79,11660.67
2020-06-29,11608.8,11608.8,11500.65,11542.62
2020-06-30,11563.6,11638.0,11563.6,11621.24
2020-07-01,11622.64,11736.39,11622.64,11703.42
2020-07-02,11694.1,11805.21,11690.95,11805.14
2020-07-03,11857.9,11933.59,11857.9,11909.16
2020-07-06,11941.84,12116.7,11941.84,12116.7
