Date,Open,High,Low,close
2021-09-01,17463.8,17503.93,17415.52,17473.99
2021-09-02,17455.92,17523.16,17319.76,17319.76
2021-09-03,17380.52,17540.78,17380.52,17516.92
2021-09-06,17534.05,17633.67,17461.07,17495.3
2021-09-07,17534.38,17559.21,17388.37,17428.87
2021-09-08,17411.53,17447.58,17167.08,17270.49
2021-09-09,17175.04,17319.09,17122.95,17304.33
2021-09-10,17270.28,17474.57,17270.28,17474.57
2021-09-13,17452.16,17482.57,17387.57,17446.31
2021-09-14,17463.78,17529.47,17424.54,17434.9
2021-09-15,17434.02,17439.75,17316.52,17354.0
2021-09-16,17332.34,17411.37,17254.1,17278.7
2021-09-17,17279.29,17408.71,17235.45,17276.79
